title,genre,director,country,year,imdb_id,imdb_rating
Актёры,комедия,Бертран Блие,Франция,2000,tt0211900,
Актер Йоллер,драма,Вирве Аруоя,СССР,1960,tt1921041,
Акт убийства,Фильм нуар,Майкл Гордон,США,1948,tt0040072,
Акт насилия,"Фильм нуар, Драма",Фред Циннеман,США,1948,tt0041088,
Акт убийства,"документальный, исторический",Джошуа Оппенхаймер,"Великобритания, Дания, Норвегия",2012,tt2375605,
Аладдин,"комедия, мюзикл, фэнтези, приключения, мелодрама",Гай Ричи,Aladdin Jr.,2019,tt6139732,
Аксели и Элина,"драма, исторический",Эдвин Лайне,Финляндия,1970,tt0132676,
Акт агрессии,"криминальный фильм, драма",Жерар Пирес,"Франция, Италия",1975,tt0072618,
Акт,"мелодрама, детектив",Александр Рогожкин,Россия,1993,tt0280392,
Акселератка,эксцентрическая комедия,Алексей Коренев,СССР,1987,tt0092525,
Акробатическая смесь,"хроника, короткометражка",Макс Складановский,Германская империя,1895,tt0000011,
"Акмаль, дракон и принцесса",сказка,Юрий Степчук,СССР,1981,tt1718717,
Аккумулятор 1,"фантастика, комедия",Ян Сверак,Чехия,1994,tt0109071,
Аккорды долгой жизни,"биографический фильм, драма, комедия, мюзикл",Анар Рзаев,СССР,1981,tt1198151,
Американская девочка,"подростковый фильм, комедийный фильм, драматический фильм, ЛГБТ-фильм",Джордан Брэйди,США,2002,tt0329297,
Алпамыс идёт в школу,Детский фильм,Абдулла Карсакбаев,СССР,1976,tt0318976,
"Алукарда, дочь тьмы","Ужасы, Эротика",Хуан Лопез Моктезума,Мексика,1977,tt0075666,
Американская готика,,Джон Хаф,"Великобритания, Канада",1987,tt0094642,
Американский пирог 2,Комедия,Джеймс Роджерс,США,2001,tt0252866,
Акты насилия,"боевик, приключенческий фильм",Бретт Доноху,"Канада, США",2018,tt6684714,
Американский пирог,комедия,Пол Вайц,США,1999,tt0163651,
Американский огурчик,кинокомедия,Брэндон Трост,США,2020,tt9059704,
Американский ниндзя 5,экшн,Бобби Джин Леонард,США,1993,tt0106257,
Американский оборотень в Париже,комедийный фильм ужасов,Энтони Уоллер,"США, [, ], Великобритания, Франция, [, ], Нидерланды, [, ], Люксембург, [, ]",1997,tt0118604,
Американский оборотень в Лондоне,комедийный фильм ужасов,Джон Лэндис,"США, [, ], Великобритания, [, ]",1981,tt0082010,
Американский ниндзя 4: Разрушение,боевик,Седрик Сандстром,США,1991,tt0101326,
Американский ниндзя 3: Кровавая охота,боевик,Седрик Сандстром,США,1989,tt0096804,
Американский ниндзя 2,боевик,Сэм Фёрстенберг,США,1985,tt0092548,
Американский ниндзя,боевик,Сэм Фёрстенберг,"США, Филиппины",1985,tt0088708,
Американский киборг: Стальной воин,"боевик, постапокалиптика",Боаз Дэвидсон,США,1993,tt0109098,
Американский неудачник,биографический,"Эндрю Эрвин, Джон Эрвин",США,2021,tt11729298,
Американский жиголо,мелодрама,Пол Шредер,США,1980,tt0080365,
Американский дедушка,Комедия,Иван Щёголев,Россия,1993,tt0187693,
Американский грайндхаус,документальный,Элайджа Дреннер,США,2010,tt1307861,
Американский боевой корабль,"мокбастер, научно-фантастический фильм, боевик, вторжение пришельцев, фильм-триллер, военный фильм",Тандер Левин,США,"5 июля, 2012, 2012",tt2175927,
Американские молнии,"спортивный, драматический фильм",Джон Бэдэм,США,1985,tt0088707,
Американский дьявол,триллер,Эш Эвилдсен,США,2017,tt5451690,
Американские детки,"Комедия, Драма",Джош Столберг,США,2005,tt0408961,
Американские животные,драма,Барт Лэйтон,"Великобритания, США",2018,tt6212478,
Американские бродяги,"комедия, роуд-муви, боевик",Майкл Коверт,США,1996,tt0115531,
Американские горки,"криминальная драма, триллер, боевик",Джеб Стюарт,США,1997,tt0119210,
Американские граффити,"комедийная драма, история взросления","Джордж Лукас, Битва за пределами Солнца, Distant Vision",Дважды много лет назад,1973,tt0069704,
Американская трагедия,судебная драма,Лоуренс Шиллер,США,,tt0250135,
Американская трагедия,драма,Марийонас Гидрис,СССР,,tt4795608,
Американская трагедия,драматический фильм,Джозеф фон Штернберг,США,1931,tt0021607,
Американская сказка,"фэнтези, комедия",Дэвид Цукер,США,2008,tt1190617,
Американская рапсодия,"биографический фильм, история взросления, драматический фильм",Эва Гардос,США,2001,tt0221799,
Американский друг,драма,Вим Вендерс,ФРГ,1977,tt0075675,
Американская Мэри,"фильм ужасов, триллер","Джен Соска, Сильвия Соска",Канада,2012,tt1959332,
Американская пастораль,драма,Юэн Макгрегор,США,2016,tt0376479,
Американская милашка,Роуд-муви,Андреа Арнольд,"Великобритания, США",2016,tt3721936,
Американская ночь,трагикомедия,Франсуа Трюффо,"Франция, Италия",1973,tt0070460,
Американская мечта,"комедия, музыка",Пол Вайц,США,2006,tt0465142,
Американская интрижка,"комедия, драма",Уильям Олсон,США,2008,tt0899138,
Американская история Икс,"драма, криминал, Инструментальная, электроакустическая",Тони Кэй,США,1998,tt0120586,
Американская звезда,фильм-триллер,Гонсало Лопес-Гальего,США,2024,tt19984386,
Американская дочь,"трагикомедия, роуд-муви",Карен Шахназаров,"Россия, США",1995,tt0112348,
Американская жестокость,"криминальный фильм, драматический фильм",Тимоти Вудворд мл.,США,2016,tt5848714,
Американка,"драма, трагикомедия",Дмитрий Месхиев,Россия,1997,tt0149650,
Американизируй меня,драма,Эдвард Джеймс Олмос,США,1992,tt0103671,
Американизация Эмили,"драма, комедия, военный, мелодрама, экранизация",Артур Хиллер,США,1964,tt0057840,
Американец,драматический фильм,Майкл А. Гурджиан,Армения,2022,tt13616368,
Американец,"драма, криминальный фильм",Антон Корбейн,США,2010,tt1440728,
Американец в Париже,,Винсент Миннелли,США,1951,tt0043278,
Американские приключения,"боевик, приключенческий фильм, исторический фильм","Саммо Хун, Лау Кавин",Гонконг,1997,tt0120530,
Американа,драма,Дэвид Кэррадайн,США,1983,tt0082011,
Американка,драма,Семи Челлас,"Канада, США",2019,tt9109492,
"Америка, Америка","драма, мистика",Элиа Казан,США,1963,tt0056825,
Америка 3000,постапокалиптика,Дэвид Энгельбах,США,1986,tt0090630,
Амели,романтическая комедия,Жан-Пьер Жёне,Франция,2001,tt0211915,
Американская басня,триллер,Энн Хэмилтон,США,2016,tt4671002,
Амаркорд,"комедия, драма",Федерико Феллини,Италия,1973,tt0071129,
Амбивалентность,"триллер, драма",Антон Бильжо,Россия,2019,tt8896336,
