title,genre,director,country,year,imdb_id,imdb_rating
Актер Йоллер,драма,Вирве Аруоя,СССР,1960,tt1921041,6.2
Актёры,комедия,Бертран Блие,Франция,2000,tt0211900,5.9
Акт убийства,Фильм нуар,Майкл Гордон,США,1948,tt0040072,6.9
Акт насилия,"Фильм нуар, Драма",Фред Циннеман,США,1948,tt0041088,7.5
Акт убийства,"документальный, исторический",Джошуа Оппенхаймер,"Великобритания, Дания, Норвегия",2012,tt2375605,8.2
Аладдин,"комедия, мюзикл, фэнтези, приключения, мелодрама",Гай Ричи,Aladdin Jr.,2019,tt6139732,6.9
Аксели и Элина,"драма, исторический",Эдвин Лайне,Финляндия,1970,tt0132676,6.8
Акт агрессии,"криминальный фильм, драма",Жерар Пирес,"Франция, Италия",1975,tt0072618,5.3
Акт,"мелодрама, детектив",Александр Рогожкин,Россия,1993,tt0280392,5.4
Акселератка,эксцентрическая комедия,Алексей Коренев,СССР,1987,tt0092525,5.5
Акробатическая смесь,"хроника, короткометражка",Макс Складановский,Германская империя,1895,tt0000011,5.2
"Акмаль, дракон и принцесса",сказка,Юрий Степчук,СССР,1981,tt1718717,5.4
Аккумулятор 1,"фантастика, комедия",Ян Сверак,Чехия,1994,tt0109071,7.0
Аккорды долгой жизни,"биографический фильм, драма, комедия, мюзикл",Анар Рзаев,СССР,1981,tt1198151,7.9
Американская девочка,"подростковый фильм, комедийный фильм, драматический фильм, ЛГБТ-фильм",Джордан Брэйди,США,2002,tt0329297,5.9
Алпамыс идёт в школу,Детский фильм,Абдулла Карсакбаев,СССР,1976,tt0318976,5.1
"Алукарда, дочь тьмы","Ужасы, Эротика",Хуан Лопез Моктезума,Мексика,1977,tt0075666,6.3
Американская готика,,Джон Хаф,"Великобритания, Канада",1987,tt0094642,5.8
Американский пирог 2,Комедия,Джеймс Роджерс,США,2001,tt0252866,6.4
Акты насилия,"боевик, приключенческий фильм",Бретт Доноху,"Канада, США",2018,tt6684714,5.3
Американский пирог,комедия,Пол Вайц,США,1999,tt0163651,7.0
Американский огурчик,кинокомедия,Брэндон Трост,США,2020,tt9059704,5.7
Американский оборотень в Париже,комедийный фильм ужасов,Энтони Уоллер,"США, [, ], Великобритания, Франция, [, ], Нидерланды, [, ], Люксембург, [, ]",1997,tt0118604,5.1
Американский ниндзя 5,экшн,Бобби Джин Леонард,США,1993,tt0106257,3.0
Американский оборотень в Лондоне,комедийный фильм ужасов,Джон Лэндис,"США, [, ], Великобритания, [, ]",1981,tt0082010,7.5
Американский ниндзя 4: Разрушение,боевик,Седрик Сандстром,США,1991,tt0101326,4.0
Американский ниндзя 3: Кровавая охота,боевик,Седрик Сандстром,США,1989,tt0096804,3.7
Американский ниндзя 2,боевик,Сэм Фёрстенберг,США,1985,tt0092548,5.0
Американский ниндзя,боевик,Сэм Фёрстенберг,"США, Филиппины",1985,tt0088708,5.5
Американский неудачник,биографический,"Эндрю Эрвин, Джон Эрвин",США,2021,tt11729298,7.1
Американский киборг: Стальной воин,"боевик, постапокалиптика",Боаз Дэвидсон,США,1993,tt0109098,4.3
Американский жиголо,мелодрама,Пол Шредер,США,1980,tt0080365,6.3
Американский дедушка,Комедия,Иван Щёголев,Россия,1993,tt0187693,4.8
Американский грайндхаус,документальный,Элайджа Дреннер,США,2010,tt1307861,7.1
Американский боевой корабль,"мокбастер, научно-фантастический фильм, боевик, вторжение пришельцев, фильм-триллер, военный фильм",Тандер Левин,США,"5 июля, 2012, 2012",tt2175927,2.8
Американские молнии,"спортивный, драматический фильм",Джон Бэдэм,США,1985,tt0088707,6.5
Американские детки,"Комедия, Драма",Джош Столберг,США,2005,tt0408961,5.6
Американский дьявол,триллер,Эш Эвилдсен,США,2017,tt5451690,5.6
Американские бродяги,"комедия, роуд-муви, боевик",Майкл Коверт,США,1996,tt0115531,5.2
Американские животные,драма,Барт Лэйтон,"Великобритания, США",2018,tt6212478,7.0
Американские горки,"криминальная драма, триллер, боевик",Джеб Стюарт,США,1997,tt0119210,6.4
Американские граффити,"комедийная драма, история взросления","Джордж Лукас, Битва за пределами Солнца, Distant Vision",Дважды много лет назад,1973,tt0069704,7.4
Американская трагедия,судебная драма,Лоуренс Шиллер,США,,tt0250135,5.4
Американская трагедия,драма,Марийонас Гидрис,СССР,,tt4795608,6.9
